Name,Weight_g,Length_cm
Bream,242,30
Bream,290,31.2
Bream,340,31.1
Bream,363,33.5
Bream,430,34
Bream,450,34.7
Bream,500,34.5
Bream,390,35
Bream,450,35.1
Bream,500,36.2
Bream,475,36.2
Bream,500,36.2
Bream,500,36.4
Bream,,37.3
Bream,600,37.2
Bream,600,37.2
Bream,700,38.3
Bream,700,38.5
Bream,610,38.6
Bream,650,38.7
Bream,575,39.5
Bream,685,39.2
Bream,620,39.7
Bream,680,40.6
Bream,700,40.5
Bream,725,40.9
Bream,720,40.6
Bream,714,41.5
Bream,850,41.6
Bream,1000,42.6
Bream,920,44.1
Bream,955,44
Bream,925,45.3
Bream,975,45.9
Bream,950,46.5
Whitefish,270,28.7
Whitefish,270,29.3
Whitefish,306,30.8
Whitefish,540,34
Whitefish,800,39.6
Whitefish,1000,43.5
Roach,40,16.2
Roach,69,20.3
Roach,78,21.2
Roach,87,22.2
Roach,120,22.2
Roach,,22.8
Roach,110,23.1
Roach,120,23.7
Roach,150,24.7
Roach,145,24.3
Roach,160,25.3
Roach,140,25
Roach,160,25
Roach,169,27.2
Roach,161,26.7
Roach,200,26.8
Roach,180,27.9
Roach,290,29.2
Roach,272,30.6
Roach,390,35
Parkki,55,16.5
Parkki,60,17.4
Parkki,90,19.8
Parkki,120,21.3
Parkki,150,22.4
Parkki,140,23.2
Parkki,170,23.2
Parkki,145,24.1
Parkki,200,25.8
Parkki,273,28
Parkki,300,29
Smelt,6.7,10.8
Smelt,7.5,11.6
Smelt,7,11.6
Smelt,9.7,12
Smelt,9.8,12.4
Smelt,8.7,12.6
Smelt,10,13.1
Smelt,9.9,13.1
Smelt,9.8,13.2
Smelt,12.2,13.4
Smelt,13.4,13.5
Smelt,12.2,13.8
Smelt,19.7,15.2
Smelt,19.9,16.2
Pike,200,34.8
Pike,300,37.8
Pike,300,38.8
Pike,300,39.8
Pike,430,40.5
Pike,345,41
Pike,456,45.5
Pike,510,45.5
Pike,540,45.8
Pike,500,48
Pike,567,48.7
Pike,770,51.2
Pike,950,55.1
Pike,1250,59.7
Pike,1600,64
Pike,1550,64
Pike,1650,68
Perch,5.9,8.8
Perch,32,14.7
Perch,40,16
Perch,51.5,17.2
Perch,70,18.5
Perch,100,19.2
Perch,78,19.4
Perch,80,20.2
Perch,85,20.8
Perch,85,21
Perch,110,22.5
Perch,115,22.5
Perch,125,22.5
Perch,130,22.8
Perch,120,23.5
Perch,120,23.5
Perch,130,23.5
Perch,135,23.5
Perch,110,23.5
Perch,130,24
Perch,150,24
Perch,145,24.2
Perch,150,24.5
Perch,170,25
Perch,225,25.5
Perch,145,25.5
Perch,188,26.2
Perch,180,26.5
Perch,197,27
Perch,218,28
Perch,300,28.7
Perch,260,28.9
Perch,265,28.9
Perch,250,28.9
Perch,250,29.4
Perch,300,30.1
Perch,320,31.6
Perch,514,34
Perch,556,36.5
Perch,840,37.3
Perch,685,39
Perch,700,38.3
Perch,700,39.4
Perch,690,39.3
Perch,900,41.4
Perch,650,41.4
Perch,820,41.3
Perch,850,42.3
Perch,900,42.5
Perch,1015,42.4
Perch,820,42.5
Perch,1100,44.6
Perch,1000,45.2
Perch,1100,45.5
Perch,1000,46
Perch,1000,46.6
